username,biography,eimu_id,bio_links,external_url,followed_by,fbid,follow,full_name,id,business_email,business_phone_number,category_name,is_verified,is_private,city_name,latitude,longitude,street_address,zip_code,post_id,video_view_count,taken_at_timestamp,post_liked_by,post_preview_like,img_file,video_file,accessibility_caption,caption,scraped_at
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3638211811299767991,0,1747928692,10,10,media/9198584778_3638211811299767991.jpg,media/9198584778_3638211811299767991.mp4,,"✨ Details maken het verschil.
Van warme houtaccenten tot verfijnde chroomkranen – deze badkamer straalt rust, luxe en natuurlijk evenwicht uit.
Een oase van comfort en stijl, tot in de kleinste details. 🛁🌿

#badkamerinspiratie #sanimax #houtinbadkamer #chroomdetails #wellnessgevoel #interieurdesign #natuurlijkwonen #badkamerstyling #interieurinspiratie #modernlandelijk #bathroominspiration #interiordetails #modernbathroom #spaathome #woodandchrome #neutralinterior",2025-05-23T06:48:40.531815
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3636023362176378230,0,1747667783,10,10,media/9198584778_3636023362176378230.jpg,,"Photo by Sanimax on May 19, 2025. May be an image of sink, countertop, wash basin, faucet, rack and text that says 'SANIMAX'.","🧼 Stijl in het klein: fonteinen met karakter
Een kleine ruimte betekent niet dat je moet inleveren op stijl. Van natuurlijk marmer tot hoogglans chroom en matzwart keramiek – deze fonteinen combineren krachtige materialen, warme houttinten en moderne afwerkingen voor een luxe uitstraling in het kleinste kamertje.

💡 Elk fonteintje vertelt zijn eigen verhaal:
– Donker marmer & hout: aards en chic
– Zwart keramiek & honingraat: gewaagd & modern
– Chroom & speelse patronen: verrassend en uniek
– Minimalistisch wit & donker hout: strak en tijdloos

#toiletinspiratie #toiletinspiration #fonteinmeubel #kleinbadkamergeluk #gastenwc #sanitairdesign #marmerlook #zwartwitinterieur #modernewc #sanimax #interieurinspiratie #badkamerdetails #toiletdesign #tegelinspiratie #honingraat #chroomkranen #fonteintje #bathroomdesign #interiorinspo #bathroomdetails #toiletdesign",2025-05-23T06:48:41.615698
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3634566075782314296,0,1747494061,5,5,media/9198584778_3634566075782314296.jpg,,"Photo by Sanimax on May 17, 2025. May be an image of sink, lighting, countertop, wash basin, indoors and text that says 'SANIMAX'.","🖤 Minimalistisch. Modern. Tijdloos.
Deze badkamer ademt rust en elegantie. Zachte zandkleurige tegels vormen de basis, gecombineerd met matzwarte kranen en accessoires voor een stijlvol contrast. De ronde waskommen en het zwevende meubel zorgen voor een luchtige, moderne look. 🌾🛁

Een perfect voorbeeld van hoe subtiele kleuren en strakke lijnen een oase van comfort en design kunnen creëren.

#minimalistischinterieur #badkamerinspiratie #zandkleur #zwartaccent #designbadkamer #sanitairinspiratie #badkamerstyling #waskom #sanimax #modernebadkamer #interieurinspiratie #badkamerdesign #zwartwitinterieur #natuurlijkelementen #badkamerdetails",2025-05-23T06:48:43.189297
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3633116445929941065,0,1747321252,5,5,media/9198584778_3633116445929941065.jpg,,"Photo by Sanimax on May 15, 2025. May be an image of carpet and text.","✨ Groen, goud & marmer ✨
Een harmonieuze mix van diepe groentinten, warme messing accenten, en luxe marmerstructuren – perfect voor een stijlvolle en rustgevende badkamer. Denk aan matte en glanzende tegels, zachte texturen, natuurlijke stoffen en een vleugje spa-vibes. 🌿🛁

Laat je inspireren door dit moodboard waar elegantie en natuur samenkomen.

#badkamerinspiratie #badkamermoodboard #groeninterieur #marmerlook #messingdetails #tegelinspiratie #natuurlijkelementen #interieurdesign #sanitair #sanimax #sanimaxstijl #interieurinspiratie #badkamerstyling #wellnessgevoel #binnenkijken #groentinten #badkamerideeën #tegelliefde",2025-05-23T06:48:47.090729
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3631722635505286549,0,1747155096,8,8,media/9198584778_3631722635505286549.jpg,,"Photo by Sanimax on May 13, 2025. May be an image of sink, lighting, towel rack, shower, wash basin, indoors and text that says 'SANIMAX -SANIT SANITAIR SANITAIR&TEGELS- TAIR & TEGELS'.","🛁✨ **Badkamerdoelen Alert** ✨🛁

Swipe-waardige momenten rechtstreeks uit een luxe spa-oase 💫

1️⃣ **Gepolijste Perfectie** – Close-up van die prachtige bedieningsknoppen met een bronzen afwerking. Het geborstelde metaal vangt het licht op precies de juiste manier en creëert een warme, sfeervolle uitstraling. Strak en minimalistisch, maar vol karakter.

2️⃣ **Douchekop-Jaloezie** – Maak kennis met je nieuwe douchecrush 😍 Een matte, geborsteld gouden handdouche gemonteerd op koele grijze natuursteen tegels. Het contrast? *Om van te watertanden.* Industrieel ontmoet luxe.

3️⃣ **Details Doen Ertoe** – Ingebouwde nis in natuursteen met een zachte spotlight, waarin een rokerige glazen vaas staat gevuld met gedroogd hazenstaartgras. Aards, elegant en moeiteloos knus. Daaronder? Een minimalistisch bedieningspaneel van Axor in bijpassend brons—want functionaliteit mag ook gewoon mooi zijn, toch?

🪨 Kleuren: Gedempte grijstinten, warm brons, romig beige.
🌾 Texturen: Matte metalen, natuursteen, zachte florals.
🎯 Sfeer: Kalm, zorgvuldig samengesteld en bewust stijlvol.

Tag iemand die *verliefd* zou worden op deze esthetiek.
\#BadkamerInspiratie #ModerneLuxe #InterieurDromen #SpaSfeer #GeborsteldBrons #AXOR #MinimalMood",2025-05-23T06:48:48.104888
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3628780091075088552,0,1746804529,7,7,media/9198584778_3628780091075088552.jpg,media/9198584778_3628780091075088552.mp4,,"Strakke lijnen, warme houtaccenten en minimalistisch design – deze badkamer ademt moderne luxe. Met een zwevend toilet en wastafelmeubel, gecombineerd met zachte neutrale tinten, 🤎straalt deze ruimte rust en elegantie uit. De perfecte plek om je dag stijlvol te beginnen of ontspannen af te sluiten.  #sanimax #badkamer #badkamerstyling #badkamerinspiratie #showroom #stylish #interieurinspiratie #inspo",2025-05-23T06:48:52.001726
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3628070059614371277,0,1746719676,6,6,media/9198584778_3628070059614371277.jpg,,"Photo by Sanimax on May 08, 2025. May be an image of sink, lighting, faucet, wash basin, indoors and text.",Waar design en rust elkaar ontmoeten🛁✨ #bathroominspo #feelslikehome #inspo #sanitaire #aesthetics #interiors #sanimax #haarlem,2025-05-23T06:48:52.998381
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3627259324231465525,0,1746623028,7,7,media/9198584778_3627259324231465525.jpg,,"Photo by Sanimax on May 07, 2025. May be an image of sink, indoors and text.","Ontdek de hotbath-collectie stijlvol design en topkwaliteit, beschikbaar in diverse kleuren en afwerkingen. Van geborsteld goud tot geborsteld messing: voor iedere smaak wat wils. Deze producten zijn te zien en verkrijgbaar bij Sanimax.✨ #bathroom #badkamer #inspo #sanitair #sanimax #haarlem",2025-05-23T06:48:54.059717
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3626426227462101752,0,1746523715,4,4,media/9198584778_3626426227462101752.jpg,,"Photo by Sanimax on May 06, 2025. May be an image of sink, lighting, faucet, shower, wash basin, indoors and text.","Laat je meevoeren naar een plek waar rust en elegantie elkaar versterken. De warme aardetinten van de vloertegels en de zeshoekige wandtegels creëren een serene sfeer die uitnodigt tot ontspannen. 🤎 Het donkerhouten meubel voegt diepte en karakter toe, terwijl de indirecte verlichting rondom de spiegel zorgt voor een zachte, luxe uitstraling. ✨ Elke lijn, kleur en materiaalkeuze is doordacht precies wat je van Sanimax mag verwachten. Kom langs in onze showroom en beleef het zelf. 
#woonispiratie #badkamerdesign #moderninterior #badkamertrends #luxebadkamer #showroom #sanimax",2025-05-23T06:48:55.671245
sanimax.nl,"Sanitair & Tegels
Een wereld waarin badkamers droomkamers het kloppend hart van het huis worden.
🔸Design
🔸Kwaliteit 
🔸Exclusief 
🔸Ruim assortiment",101365774595169,http://www.sanimax.nl/,http://www.sanimax.nl/,1391,17841409143349823,494,Sanimax,9198584778,,,Shopping & retail,False,False,"Haarlem, Netherlands",52.38482,4.66202,Fustweg 3A,2031 CJ,3622972792546334942,0,1746112034,5,5,media/9198584778_3622972792546334942.jpg,,"Photo by Sanimax on May 01, 2025. May be an image of sink, lighting, towel rack, shower, mirror, wash basin, sliding door, indoors and text that says 'SANIMAX SANITAIR SANITAIR&TEGELS SANI TAIR TEGELS'.","Strakke lijnen, warme materialen en een verfijnde afwerking: deze badkamer is een toonbeeld van maatwerk en stijl. Het op maat gemaakte meubel reikt tot aan de vloer en biedt een rustige, natuurlijke uitstraling in combinatie met optimaal gebruik van de ruimte. De RVS kranen van Hotbath uit de Archie-serie zorgen voor een moderne, tijdloze touch. De grote keramische tegels, rechtstreeks uit Italië, maken het geheel af met een luxe uitstraling.

#maatwerk #badkamerinspiratie #interieurdesign #hotbath #italiaansetegels #rvsdesign #natuurlijkelementen #wooninspiratie

Wist je dat RVS niet alleen stijlvol is, maar ook volledig recyclebaar en daarmee een duurzaam alternatief voor andere metalen?",2025-05-23T06:48:57.641618
